channel;width
"W, e";(3.2815685677380094*^-7*VeN1^2*Sqrt[4.060147164469699*^7 - 12743.856818303062*x^2 + x^4]*(-8.120294329438551*^7 + 6371.928408368169*x^2 + x^4)*If[x >= 79.82487074619785, 1, 0])/x^3
"Wbar, ebar";(3.2815685677380094*^-7*VeN1^2*Sqrt[4.060147164469699*^7 - 12743.856818303062*x^2 + x^4]*(-8.120294329438551*^7 + 6371.928408368169*x^2 + x^4)*If[x >= 79.82487074619785, 1, 0])/x^3
"W, mu";(3.2815685677380094*^-7*VmuN1^2*Sqrt[4.060132937527812*^7 - 12743.87914585202*x^2 + x^4]*(-8.120287215948913*^7 + 6371.906080819211*x^2 + x^4)*If[x >= 79.93001974619784, 1, 0])/x^3
"Wbar, mubar";(3.2815685677380094*^-7*VmuN1^2*Sqrt[4.060132937527812*^7 - 12743.87914585202*x^2 + x^4]*(-8.120287215948913*^7 + 6371.906080819211*x^2 + x^4)*If[x >= 79.93001974619784, 1, 0])/x^3
"W, ta";(3.2815685677380094*^-7*VtaN1^2*(-8.118281250167423*^7 + 6365.6129508904105*x^2 + x^4)*Sqrt[4.056123997303176*^7 + x*(-5.820766091346741*^-11 - 12750.17227578082*x + x^3)]*If[x >= 81.60135974619784, 1, 0])/x^3
"Wbar, tabar";(3.2815685677380094*^-7*VtaN1^2*(-8.118281250167423*^7 + 6365.6129508904105*x^2 + x^4)*Sqrt[4.056123997303176*^7 + x*(-5.820766091346741*^-11 - 12750.17227578082*x + x^3)]*If[x >= 81.60135974619784, 1, 0])/x^3
"Z, ve";(1.6407842838690052*^-7*VeN1^2*(1.149859317375595*^12 - 2.0742657516015947*^8*x^2 + x^6)*If[x >= 91.1876, 1, 0])/x^3
"Z, vebar";(1.6407842838690052*^-7*VeN1^2*(1.149859317375595*^12 - 2.0742657516015947*^8*x^2 + x^6)*If[x >= 91.1876, 1, 0])/x^3
"Z, vm";(1.6407842838690052*^-7*VmuN1^2*(1.149859317375595*^12 - 2.0742657516015947*^8*x^2 + x^6)*If[x >= 91.1876, 1, 0])/x^3
"Z, vmbar";(1.6407842838690052*^-7*VmuN1^2*(1.149859317375595*^12 - 2.0742657516015947*^8*x^2 + x^6)*If[x >= 91.1876, 1, 0])/x^3
"Z, vt";(1.6407842838690052*^-7*VtaN1^2*(1.149859317375595*^12 - 2.0742657516015947*^8*x^2 + x^6)*If[x >= 91.1876, 1, 0])/x^3
"Z, vtbar";(1.6407842838690052*^-7*VtaN1^2*(1.149859317375595*^12 - 2.0742657516015947*^8*x^2 + x^6)*If[x >= 91.1876, 1, 0])/x^3
"H, ve";(1.6407842838690047*^-7*VeN1^2*(-15625. + x^2)^2*If[x >= 125., 1, 0])/x
"H, vebar";(1.6407842838690047*^-7*VeN1^2*(-15625. + x^2)^2*If[x >= 125., 1, 0])/x
"H, vm";(1.6407842838690047*^-7*VmuN1^2*(-15625. + x^2)^2*If[x >= 125., 1, 0])/x
"H, vmbar";(1.6407842838690047*^-7*VmuN1^2*(-15625. + x^2)^2*If[x >= 125., 1, 0])/x
"H, vt";(1.6407842838690047*^-7*VtaN1^2*(-15625. + x^2)^2*If[x >= 125., 1, 0])/x
"H, vtbar";(1.6407842838690047*^-7*VtaN1^2*(-15625. + x^2)^2*If[x >= 125., 1, 0])/x